iter	Passed	Remaining
645	101339	55532
646	101481	55367
647	101620	55201
648	101745	55027
649	101868	54852
650	102027	54696
651	102193	54545
652	102323	54373
653	102484	54219
654	102640	54062
655	102785	53899
656	102962	53753
657	103140	53608
658	103318	53462
659	103522	53329
660	103666	53166
661	103800	52997
662	103956	52840
663	104077	52665
664	104225	52504
665	104354	52333
666	104520	52181
667	104666	52019
668	104796	51849
669	104908	51671
670	105024	51494
671	105144	51320
672	105285	51156
673	105444	51001
674	105572	50830
675	105732	50676
676	105851	50502
677	105953	50320
678	106121	50169
679	106281	50015
680	106409	49845
681	106523	49669
682	106676	49511
683	106811	49345
684	106977	49193
685	107141	49041
686	107341	48905
687	107492	48746
688	107633	48583
689	107785	48425
690	107957	48276
691	108103	48115
692	108228	47945
693	108389	47791
694	108540	47632
695	108743	47496
696	108883	47333
697	109005	47162
698	109120	46988
699	109258	46825
700	109383	46655
701	109536	46498
702	109658	46327
703	109819	46174
704	109996	46026
705	110147	45868
706	110279	45702
707	110426	45543
708	110617	45401
709	110789	45252
710	110940	45094
711	111142	44956
712	111317	44808
713	111493	44659
714	111649	44503
715	111788	44340
716	111982	44199
717	112119	44035
718	112245	43868
719	112416	43717
720	112593	43569
721	112783	43426
722	112913	43260
723	113071	43104
724	113241	42953
725	113426	42808
726	113554	42641
727	113719	42488
728	113870	42330
729	114034	42177
730	114199	42024
731	114339	41862
732	114490	41703
733	114619	41537
734	114784	41384
735	114905	41216
736	115044	41053
737	115200	40897
738	115336	40734
739	115461	40567
740	115654	40424
741	115831	40275
742	115974	40114
743	116109	39951
744	116244	39788
745	116362	39619
746	116520	39464
747	116662	39303
748	116821	39148
749	117005	39001
750	117162	38846
751	117401	38717
752	117553	38560
753	117709	38403
754	117859	38245
755	117995	38083
756	118132	37921
757	118326	37777
758	118478	37619
759	118655	37470
760	118783	37305
761	118942	37149
762	119096	36993
763	119273	36843
764	119425	36686
765	119574	36528
766	119726	36370
767	119880	36213
768	120020	36052
769	120175	35896
770	120326	35738
771	120454	35574
772	120590	35412
773	120703	35244
774	120877	35093
775	121063	34946
776	121206	34786
777	121328	34620
778	121476	34462
779	121663	34315
780	121854	34169
781	121999	34010
782	122172	33858
783	122312	33698
784	122423	33530
785	122555	33367
786	122705	33209
787	122857	33053
788	123031	32902
789	123174	32742
790	123335	32588
791	123492	32432
792	123614	32267
793	123762	32109
794	123900	31949
795	124067	31796
796	124230	31642
797	124359	31479
798	124511	31322
799	124688	31172
800	124841	31015
801	124992	30858
802	125105	30692
803	125241	30531
804	125365	30368
805	125497	30206
806	125651	30050
807	125778	29887
808	125910	29726
809	126064	29570
810	126219	29414
811	126405	29266
812	126577	29114
813	126745	28961
814	126891	28803
815	127006	28638
816	127155	28481
817	127310	28325
818	127483	28174
819	127651	28020
820	127804	27864
821	127953	27707
822	128071	27543
823	128219	27386
824	128346	27224
825	128470	27062
826	128625	26907
827	128777	26750
828	128929	26594
829	129066	26435
830	129247	26284
831	129415	26132
832	129551	25972
833	129704	25816
834	129870	25663
835	130027	25507
836	130150	25345
837	130298	25188
838	130454	25033
839	130601	24876
840	130768	24723
841	130933	24569
842	131106	24417
843	131245	24258
844	131371	24097
845	131516	23940
846	131676	23785
847	131831	23630
848	131981	23473
849	132114	23314
850	132257	23156
851	132390	22997
852	132544	22841
853	132691	22684
854	132825	22525
855	132984	22371
856	133175	22221
857	133353	22070
858	133509	21914
859	133676	21761
860	133811	21602
861	133994	21451
862	134126	21292
863	134328	21144
864	134513	20993
865	134676	20839
866	134861	20688
867	135027	20534
868	135193	20380
869	135333	20222
870	135501	20068
871	135678	19916
872	135840	19761
873	135986	19604
874	136117	19445
875	136264	19288
876	136388	19128
877	136546	18973
878	136712	18819
879	136833	18659
880	136939	18496
881	137088	18340
882	137264	18187
883	137437	18034
884	137591	17879
885	137741	17722
886	137932	17572
887	138103	17418
888	138254	17262
889	138421	17108
890	138565	16951
891	138689	16792
892	138864	16638
893	139025	16483
894	139164	16326
895	139306	16169
896	139424	16009
897	139576	15853
898	139732	15698
899	139898	15544
900	140048	15388
901	140194	15231
902	140316	15072
903	140484	14918
904	140615	14760
905	140767	14604
906	140922	14449
907	141077	14294
908	141215	14137
909	141343	13979
910	141497	13823
911	141621	13665
912	141751	13507
913	141924	13353
914	142069	13197
915	142220	13042
916	142405	12889
917	142552	12733
918	142706	12578
919	142851	12421
920	143001	12266
921	143142	12109
922	143296	11954
923	143443	11798
924	143595	11642
925	143701	11483
926	143829	11326
927	143988	11171
928	144117	11014
929	144257	10858
930	144409	10702
931	144563	10547
932	144752	10394
933	144934	10241
934	145054	10083
935	145210	9928
936	145383	9774
937	145557	9621
938	145733	9467
939	145865	9310
940	146048	9157
941	146202	9001
942	146339	8845
943	146471	8688
944	146589	8531
945	146772	8378
946	146933	8223
947	147091	8068
948	147277	7914
949	147448	7760
950	147622	7606
951	147788	7451
952	147969	7297
953	148120	7142
954	148257	6985
955	148451	6832
956	148611	6677
957	148776	6522
958	148937	6367
959	149076	6211
960	149235	6056
961	149370	5900
962	149550	5745
963	149670	5589
964	149834	5434
965	149983	5278
966	150119	5123
967	150282	4968
968	150428	4812
969	150596	4657
970	150792	4503
971	150964	4348
972	151146	4194
973	151291	4038
974	151436	3882
975	151571	3727
976	151708	3571
977	151852	3415
978	152013	3260
979	152184	3105
980	152343	2950
981	152524	2795
982	152669	2640
983	152894	2486
984	153106	2331
985	153258	2176
986	153400	2020
987	153575	1865
988	153738	1709
989	153914	1554
990	154138	1399
991	154373	1244
992	154616	1089
993	154813	934
994	154977	778
995	155142	623
996	155344	467
997	155504	311
998	155628	155
999	155739	0
